
   _____          _____  ______    _____ ______ _______ __  __
  / ____|   /\   |  __ \|  ____|  |_   _|  ____|__   __|  \/  |
 | |       /  \  | |__) | |__       | | | |__     | |  | \  / |
 | |      / /\ \ |  ___/|  __|      | | |  __|    | |  | |\/| |
 | |____ / ____ \| |    | |____    _| |_| |____   | |  | |  | |
  \_____/_/    \_\_|    |______|  |_____|______|  |_|  |_|  |_|



Jeecg  Boot Version: 3.4.4
Spring Boot Version: 2.6.14 (v2.6.14)


2026-08-06 23:39:17.911 [background-preinit] [34mINFO [0;39m [36morg.hibernate.validator.internal.util.Version:21[0;39m - HV000001: Hibernate Validator 6.2.5.Final
<==        Row: 2078360480434298881, admin, 2026-07-18 14:05:27.275000, null, null, A01, 2078348945532030978, 2078360479234727938, 2, 噪音分析, 2, ZB1-A-18-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360480929226754, admin, 2026-07-18 14:05:27.402000, null, null, A01, 2078348945532030978, 2078360479234727938, 3, 有源衰减/激励, 3, ZB1-A-18-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360481562566658, admin, 2026-07-18 14:05:27.535000, null, null, A01, 2078348945532030978, 2078360479234727938, 4, 传感器, 4, ZB1-A-18-4-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360482091048962, admin, 2026-07-18 14:05:27.661000, null, null, A01, 2078348945532030978, 2078360479234727938, 5, 控制/计算, 5, ZB1-A-18-5-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360482648891394, admin, 2026-07-18 14:05:27.800000, null, null, A01, 2078348945532030978, 2078360479234727938, 6, 无源衰减, 6, ZB1-A-18-6-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360483554861058, admin, 2026-07-18 14:05:28.008000, null, null, A01, 2078348945532030978, 2078360422452240386, 19, 项目自定义, 20, ZB1-A-19-0-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360483936542722, admin, 2026-07-18 14:05:28.110000, null, null, A01, 2078348945532030978, 2078360422452240386, 20, 项目自定义, 21, ZB1-A-20-0-0-00-00-A, null, null, null, 1, 0
<==      Total: 111
Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@1c71dacc]
2026-08-07 01:08:56.675 [http-nio-9999-exec-6] [34mINFO [0;39m [36morg.jeecg.common.system.query.QueryGenerator:648[0;39m - ---查询过滤器，Query规则---field:project_id, rule:=, value:2078348945532030978
2026-08-07 01:08:56.677 [http-nio-9999-exec-6] [34mINFO [0;39m [36morg.jeecg.common.system.query.QueryGenerator:241[0;39m - 排序规则>>列:null,排序方式:null
2026-08-07 01:08:56.678 [http-nio-9999-exec-6] [34mINFO [0;39m [36mo.j.m.i.p.c.IetmProjectConfigurationManagementController:263[0;39m - 查询子节点，pid=null, projectId=2078348945532030978
Creating a new SqlSession
SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@6474e2a] was not registered for synchronization because synchronization is not active
original SQL: SELECT  id,create_by,create_time,update_by,update_time,sys_org_code,project_id,pid,code,title,seq,path,update_ip,version,status,security,has_child  FROM ietm_project_configuration_management 
 
 WHERE (project_id = ? AND project_id = ?)
SQL to parse, SQL: SELECT  id,create_by,create_time,update_by,update_time,sys_org_code,project_id,pid,code,title,seq,path,update_ip,version,status,security,has_child  FROM ietm_project_configuration_management 
 
 WHERE (project_id = ? AND project_id = ?)
parse the finished SQL: SELECT id, create_by, create_time, update_by, update_time, sys_org_code, project_id, pid, code, title, seq, path, update_ip, version, status, security, has_child FROM ietm_project_configuration_management WHERE (project_id = ? AND project_id = ?)
JDBC Connection [dm.jdbc.driver.DmdbConnection@d4aa784] will not be managed by Spring
==>  Preparing: SELECT id, create_by, create_time, update_by, update_time, sys_org_code, project_id, pid, code, title, seq, path, update_ip, version, status, security, has_child FROM ietm_project_configuration_management WHERE (project_id = ? AND project_id = ?)
==> Parameters: 2078348945532030978(String), 2078348945532030978(String)
<==    Columns: id, create_by, create_time, update_by, update_time, sys_org_code, project_id, pid, code, title, seq, PATH, update_ip, version, status, security, has_child
<==        Row: 2078349029430693889, admin, 2026-07-18 13:19:57.140000, admin, 2026-07-18 14:05:13.455000, A01, 2078348945532030978, 0, ZB1, 项目1, null, ZB1-A-00-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360422452240386, admin, 2026-07-18 14:05:13.435000, admin, 2026-07-18 14:05:13.545000, A01, 2078348945532030978, 2078349029430693889, A, 《内置构型》, null, ZB1-A-00-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360422867476482, admin, 2026-07-18 14:05:13.552000, admin, 2026-07-18 14:05:13.664000, A01, 2078348945532030978, 2078360422452240386, 00, 说明（总论）, 1, ZB1-A-00-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360423412736002, admin, 2026-07-18 14:05:13.674000, null, null, A01, 2078348945532030978, 2078360422867476482, 1, 一般性维修, 1, ZB1-A-00-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360423991549953, admin, 2026-07-18 14:05:13.825000, null, null, A01, 2078348945532030978, 2078360422867476482, 2, 安全, 2, ZB1-A-00-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360424473894914, admin, 2026-07-18 14:05:13.933000, null, null, A01, 2078348945532030978, 2078360422867476482, 3, 安全和防护设施, 3, ZB1-A-00-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360424964628481, admin, 2026-07-18 14:05:14.045000, admin, 2026-07-18 14:05:14.180000, A01, 2078348945532030978, 2078360422867476482, 4, 技术出版物, 4, ZB1-A-00-4-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360425585385473, admin, 2026-07-18 14:05:14.188000, null, null, A01, 2078348945532030978, 2078360424964628481, 1, 出版信息, 1, ZB1-A-00-4-1-00-00-A, null, null, null, 1, 0
<==        Row: 2078360426013204481, admin, 2026-07-18 14:05:14.312000, null, null, A01, 2078348945532030978, 2078360424964628481, 2, 信息集合, 2, ZB1-A-00-4-2-00-00-A, null, null, null, 1, 0
<==        Row: 2078360426571046913, admin, 2026-07-18 14:05:14.424000, null, null, A01, 2078348945532030978, 2078360422867476482, 5, 物资数据, 5, ZB1-A-00-5-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360427061780482, admin, 2026-07-18 14:05:14.539000, null, null, A01, 2078348945532030978, 2078360422867476482, 6, 项目自定义, 6, ZB1-A-00-6-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360427556708354, admin, 2026-07-18 14:05:14.661000, null, null, A01, 2078348945532030978, 2078360422867476482, 7, 项目自定义, 7, ZB1-A-00-7-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360428181659650, admin, 2026-07-18 14:05:14.808000, null, null, A01, 2078348945532030978, 2078360422867476482, 8, 项目自定义, 8, ZB1-A-00-8-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360428668198914, admin, 2026-07-18 14:05:14.926000, null, null, A01, 2078348945532030978, 2078360422867476482, 9, 战斗损伤修理, 9, ZB1-A-00-9-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360429075046402, admin, 2026-07-18 14:05:15.027000, admin, 2026-07-18 14:05:15.145000, A01, 2078348945532030978, 2078360422452240386, 01, 项目自定义, 2, ZB1-A-01-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360429653860353, admin, 2026-07-18 14:05:15.157000, null, null, A01, 2078348945532030978, 2078360429075046402, 1, 测试, 1, ZB1-A-01-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360430056513538, admin, 2026-07-18 14:05:15.260000, null, null, A01, 2078348945532030978, 2078360422452240386, 02, 项目自定义, 3, ZB1-A-02-0-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360430551441409, admin, 2026-07-18 14:05:15.380000, null, null, A01, 2078348945532030978, 2078360422452240386, 03, 项目自定义, 4, ZB1-A-03-0-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360430966677506, admin, 2026-07-18 14:05:15.474000, admin, 2026-07-18 14:05:15.603000, A01, 2078348945532030978, 2078360422452240386, 04, 使用限制（总论）, 5, ZB1-A-04-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360431532908545, admin, 2026-07-18 14:05:15.606000, null, null, A01, 2078348945532030978, 2078360430966677506, 1, 疲劳参数计算, 1, ZB1-A-04-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360432015253506, admin, 2026-07-18 14:05:15.723000, null, null, A01, 2078348945532030978, 2078360430966677506, 2, 使用范围, 2, ZB1-A-04-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360432434683906, admin, 2026-07-18 14:05:15.829000, admin, 2026-07-18 14:05:15.946000, A01, 2078348945532030978, 2078360422452240386, 05, 计划/非计划维修（总论）, 6, ZB1-A-05-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360432992526338, admin, 2026-07-18 14:05:15.956000, null, null, A01, 2078348945532030978, 2078360432434683906, 1, 时限, 1, ZB1-A-05-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360433370013698, admin, 2026-07-18 14:05:16.067000, null, null, A01, 2078348945532030978, 2078360432434683906, 2, 维修检查清单, 2, ZB1-A-05-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360433978187778, admin, 2026-07-18 14:05:16.192000, null, null, A01, 2078348945532030978, 2078360432434683906, 3, 项目自定义, 3, ZB1-A-05-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360434540224514, admin, 2026-07-18 14:05:16.322000, null, null, A01, 2078348945532030978, 2078360432434683906, 4, 计划性维修检查, 4, ZB1-A-05-4-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360435123232770, admin, 2026-07-18 14:05:16.461000, null, null, A01, 2078348945532030978, 2078360432434683906, 5, 非计划性维修检查, 5, ZB1-A-05-5-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360435668492290, admin, 2026-07-18 14:05:16.597000, null, null, A01, 2078348945532030978, 2078360432434683906, 6, 验收和功能性检查, 6, ZB1-A-05-6-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360436142448641, admin, 2026-07-18 14:05:16.716000, admin, 2026-07-18 14:05:16.842000, A01, 2078348945532030978, 2078360422452240386, 06, 尺寸和区域（总论）, 7, ZB1-A-06-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360436721262593, admin, 2026-07-18 14:05:16.851000, null, null, A01, 2078348945532030978, 2078360436142448641, 1, 主要尺寸, 1, ZB1-A-06-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360437274910722, admin, 2026-07-18 14:05:16.983000, null, null, A01, 2078348945532030978, 2078360436142448641, 2, 参考线, 2, ZB1-A-06-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360437832753154, admin, 2026-07-18 14:05:17.119000, null, null, A01, 2078348945532030978, 2078360436142448641, 3, 区域划分, 3, ZB1-A-06-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360438386401281, admin, 2026-07-18 14:05:17.247000, null, null, A01, 2078348945532030978, 2078360436142448641, 4, 口盖, 4, ZB1-A-06-4-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360438814220289, admin, 2026-07-18 14:05:17.349000, admin, 2026-07-18 14:05:17.467000, A01, 2078348945532030978, 2078360422452240386, 07, 顶起、支撑、恢复和运输（总论）, 8, ZB1-A-07-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360439359479809, admin, 2026-07-18 14:05:17.473000, null, null, A01, 2078348945532030978, 2078360438814220289, 1, 顶起, 1, ZB1-A-07-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360439850213377, admin, 2026-07-18 14:05:17.601000, null, null, A01, 2078348945532030978, 2078360438814220289, 2, 支撑, 2, ZB1-A-07-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360440420638722, admin, 2026-07-18 14:05:17.726000, null, null, A01, 2078348945532030978, 2078360438814220289, 3, 吊挂, 3, ZB1-A-07-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360440974286849, admin, 2026-07-18 14:05:17.863000, null, null, A01, 2078348945532030978, 2078360438814220289, 4, 恢复, 4, ZB1-A-07-4-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360441532129281, admin, 2026-07-18 14:05:17.999000, null, null, A01, 2078348945532030978, 2078360438814220289, 5, 运输, 5, ZB1-A-07-5-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360441947365378, admin, 2026-07-18 14:05:18.100000, admin, 2026-07-18 14:05:18.224000, A01, 2078348945532030978, 2078360422452240386, 08, 调平和称重（总论）, 9, ZB1-A-08-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360442517790721, admin, 2026-07-18 14:05:18.232000, null, null, A01, 2078348945532030978, 2078360441947365378, 1, 重量和平衡, 1, ZB1-A-08-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360443071438849, admin, 2026-07-18 14:05:18.351000, null, null, A01, 2078348945532030978, 2078360441947365378, 2, 水平测量, 2, ZB1-A-08-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360443486674946, admin, 2026-07-18 14:05:18.456000, null, null, A01, 2078348945532030978, 2078360441947365378, 3, 称重, 3, ZB1-A-08-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360444099043330, admin, 2026-07-18 14:05:18.609000, null, null, A01, 2078348945532030978, 2078360441947365378, 4, 重量和重心数据, 4, ZB1-A-08-4-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360444614942721, admin, 2026-07-18 14:05:18.742000, null, null, A01, 2078348945532030978, 2078360441947365378, 5, 静态稳定性, 5, ZB1-A-08-5-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360445403471874, admin, 2026-07-18 14:05:18.910000, admin, 2026-07-18 14:05:19.061000, A01, 2078348945532030978, 2078360422452240386, 09, 牵引和滑行（总论）, 10, ZB1-A-09-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360446007451650, admin, 2026-07-18 14:05:19.070000, null, null, A01, 2078348945532030978, 2078360445403471874, 1, 牵引, 1, ZB1-A-09-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360446615625730, admin, 2026-07-18 14:05:19.205000, null, null, A01, 2078348945532030978, 2078360445403471874, 2, 滑行, 2, ZB1-A-09-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360447001501698, admin, 2026-07-18 14:05:19.307000, admin, 2026-07-18 14:05:19.423000, A01, 2078348945532030978, 2078360422452240386, 10, 停放、系留、存放和恢复使用（总论）, 11, ZB1-A-10-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360447538372609, admin, 2026-07-18 14:05:19.429000, null, null, A01, 2078348945532030978, 2078360447001501698, 1, 停放, 1, ZB1-A-10-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360448066854913, admin, 2026-07-18 14:05:19.545000, null, null, A01, 2078348945532030978, 2078360447001501698, 2, 系留, 2, ZB1-A-10-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360448524034050, admin, 2026-07-18 14:05:19.662000, null, null, A01, 2078348945532030978, 2078360447001501698, 3, 存放, 3, ZB1-A-10-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360448985407490, admin, 2026-07-18 14:05:19.770000, null, null, A01, 2078348945532030978, 2078360447001501698, 4, 恢复使用, 4, ZB1-A-10-4-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360449325146113, admin, 2026-07-18 14:05:19.849000, admin, 2026-07-18 14:05:19.957000, A01, 2078348945532030978, 2078360422452240386, 11, 标牌和标志（总论）, 12, ZB1-A-11-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360449786519553, admin, 2026-07-18 14:05:19.960000, null, null, A01, 2078348945532030978, 2078360449325146113, 1, 外部配色方案和标志, 1, ZB1-A-11-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360450176589826, admin, 2026-07-18 14:05:20.059000, null, null, A01, 2078348945532030978, 2078360449325146113, 2, 外部标牌和标志, 2, ZB1-A-11-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360450658934785, admin, 2026-07-18 14:05:20.167000, null, null, A01, 2078348945532030978, 2078360449325146113, 3, 内部标牌和标志, 3, ZB1-A-11-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360451040616449, admin, 2026-07-18 14:05:20.261000, admin, 2026-07-18 14:05:20.369000, A01, 2078348945532030978, 2078360422452240386, 12, 保养（总论）, 13, ZB1-A-12-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360451728482305, admin, 2026-07-18 14:05:20.423000, null, null, A01, 2078348945532030978, 2078360451040616449, 1, 补充和损耗, 1, ZB1-A-12-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360452458291202, admin, 2026-07-18 14:05:20.596000, null, null, A01, 2078348945532030978, 2078360451040616449, 2, 定期保养, 2, ZB1-A-12-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360453204877313, admin, 2026-07-18 14:05:20.770000, null, null, A01, 2078348945532030978, 2078360451040616449, 3, 非定期保养, 3, ZB1-A-12-3-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360453657862146, admin, 2026-07-18 14:05:20.882000, null, null, A01, 2078348945532030978, 2078360422452240386, 13, 项目自定义, 14, ZB1-A-13-0-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360454119235585, admin, 2026-07-18 14:05:20.992000, admin, 2026-07-18 14:05:21.148000, A01, 2078348945532030978, 2078360422452240386, 14, 装卸（总论）, 15, ZB1-A-14-0-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360454802907137, admin, 2026-07-18 14:05:21.159000, null, null, A01, 2078348945532030978, 2078360454119235585, 1, 地面设备, 1, ZB1-A-14-1-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360455310417922, admin, 2026-07-18 14:05:21.274000, null, null, A01, 2078348945532030978, 2078360454119235585, 2, 货物, 2, ZB1-A-14-2-0-00-00-A, null, null, null, 1, 0
<==        Row: 2078360455683710977, admin, 2026-07-18 14:05:21.395000, admin, 2026-07-18 14:05:21.563000, A01, 2078348945532030978, 2078360454119235585, 3, 物品出入库的装卸, 3, ZB1-A-14-3-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360456577097729, admin, 2026-07-18 14:05:21.572000, null, null, A01, 2078348945532030978, 2078360455683710977, 1, 基本信息, 1, ZB1-A-14-3-1-00-00-A, null, null, null, 1, 0
<==        Row: 2078360457365626881, admin, 2026-07-18 14:05:21.771000, null, null, A01, 2078348945532030978, 2078360455683710977, 2, 附加信息, 2, ZB1-A-14-3-2-00-00-A, null, null, null, 1, 0
<==        Row: 2078360458149961729, admin, 2026-07-18 14:05:21.953000, null, null, A01, 2078348945532030978, 2078360455683710977, 3, 装载程序, 3, ZB1-A-14-3-3-00-00-A, null, null, null, 1, 0
<==        Row: 2078360458900742146, admin, 2026-07-18 14:05:22.134000, null, null, A01, 2078348945532030978, 2078360455683710977, 4, 卸载程序, 4, ZB1-A-14-3-4-00-00-A, null, null, null, 1, 0
<==        Row: 2078360459693465602, admin, 2026-07-18 14:05:22.323000, null, null, A01, 2078348945532030978, 2078360455683710977, 5, 装卸程序检查清单, 5, ZB1-A-14-3-5-00-00-A, null, null, null, 1, 0
<==        Row: 2078360460209364993, admin, 2026-07-18 14:05:22.454000, admin, 2026-07-18 14:05:22.619000, A01, 2078348945532030978, 2078360454119235585, 4, 非核装备, 4, ZB1-A-14-4-0-00-00-A, null, null, null, 1, 1
<==        Row: 2078360460893036546, admin, 2026-07-18 14:05:22.627000, null, null, A01, 2078348945532030978, 2078360460209364993, 1, 基本信息, 1, ZB1-A-14-4-1-00-00-A, null, null, null, 1, 0
<==        Row: 2078360461580902402, admin, 2026-07-18 14:05:22.779000, null, null, A01, 2078348945532030978, 2078360460209364993, 2, 附加信息, 2, ZB1-A-14-4-2-00-00-A, null, null, null, 1, 0
<==        Row: 2078360462226825217, admin, 2026-07-18 14:05:22.943000, null, null, A01, 2078348945532030978, 2078360460209364993, 3, 装载程序, 3, ZB1-A-14-4-3-00-00-A, null, null, null, 1, 0
<==        Row: 2078360462876942337, admin, 2026-07-18 14:05:23.100000, null, null, A01, 2078348945532030978, 2078360460209364993, 4, 卸载程序, 4, ZB1-A-14-4-4-00-00-A, null, null, null, 1, 0
